Ramp 10.00 øC/min to 260.00 øC,,
Time,Temperature,Heat Flow (Normalized)
min,øC,W/g
1.99,33.37,-0.308
1.99,33.39,-0.308
2,33.41,-0.308
2,33.42,-0.308
2,33.44,-0.308
2,33.46,-0.308
2,33.47,-0.308
2.01,33.49,-0.308
2.01,33.51,-0.308
2.01,33.52,-0.308
2.01,33.54,-0.308
2.01,33.56,-0.308
2.01,33.57,-0.308
2.02,33.59,-0.308
2.02,33.61,-0.308
2.02,33.62,-0.308
2.02,33.64,-0.308
2.02,33.66,-0.308
2.02,33.67,-0.308
2.03,33.69,-0.308
2.03,33.71,-0.308
2.03,33.72,-0.308
2.03,33.74,-0.309
2.03,33.76,-0.309
2.03,33.77,-0.309
2.03,33.79,-0.309
2.04,33.81,-0.309
2.04,33.82,-0.309
2.04,33.84,-0.309
2.04,33.86,-0.309
2.04,33.87,-0.309
2.04,33.89,-0.309
2.05,33.91,-0.309
2.05,33.92,-0.309
2.05,33.94,-0.309
2.05,33.96,-0.309
2.05,33.97,-0.309
2.06,33.99,-0.309
2.06,34.01,-0.309
2.06,34.02,-0.309
2.06,34.04,-0.309
2.06,34.06,-0.309
2.06,34.07,-0.309
2.07,34.09,-0.309
2.07,34.1,-0.309
2.07,34.12,-0.309
2.07,34.14,-0.309
2.07,34.16,-0.309
2.07,34.17,-0.309
2.08,34.19,-0.309
2.08,34.21,-0.309
2.08,34.22,-0.309
2.08,34.24,-0.31
2.08,34.25,-0.31
2.08,34.27,-0.31
2.08,34.29,-0.31
2.09,34.3,-0.31
2.09,34.32,-0.31
2.09,34.34,-0.31
2.09,34.35,-0.31
2.09,34.37,-0.31
2.09,34.39,-0.31
2.1,34.4,-0.31
2.1,34.42,-0.31
2.1,34.44,-0.31
2.1,34.45,-0.31
2.1,34.47,-0.31
2.11,34.49,-0.31
2.11,34.5,-0.31
2.11,34.52,-0.31
2.11,34.54,-0.31
2.11,34.55,-0.31
2.11,34.57,-0.31
2.12,34.59,-0.31
2.12,34.6,-0.31
2.12,34.62,-0.31
2.12,34.64,-0.31
2.12,34.65,-0.31
2.12,34.67,-0.31
2.13,34.69,-0.31
2.13,34.7,-0.31
2.13,34.72,-0.31
2.13,34.74,-0.31
2.13,34.75,-0.311
2.13,34.77,-0.311
2.14,34.79,-0.311
2.14,34.8,-0.311
2.14,34.82,-0.311
2.14,34.84,-0.311
2.14,34.85,-0.311
2.14,34.87,-0.311
2.14,34.89,-0.311
2.15,34.9,-0.311
2.15,34.92,-0.311
2.15,34.94,-0.311
2.15,34.95,-0.311
2.15,34.97,-0.311
2.16,34.99,-0.311
2.16,35,-0.311
2.16,35.02,-0.311
2.16,35.04,-0.311
2.16,35.05,-0.311
2.16,35.07,-0.311
2.16,35.09,-0.311
2.17,35.1,-0.311
2.17,35.12,-0.311
2.17,35.14,-0.311
2.17,35.15,-0.311
2.17,35.17,-0.311
2.18,35.19,-0.311
2.18,35.2,-0.311
2.18,35.22,-0.311
2.18,35.24,-0.311
2.18,35.25,-0.311
2.18,35.27,-0.311
2.19,35.29,-0.311
2.19,35.3,-0.312
2.19,35.32,-0.312
2.19,35.34,-0.312
2.19,35.35,-0.312
2.19,35.37,-0.312
2.19,35.39,-0.312
2.2,35.4,-0.312
2.2,35.42,-0.312
2.2,35.44,-0.312
2.2,35.45,-0.312
2.2,35.47,-0.312
2.21,35.49,-0.312
2.21,35.5,-0.312
2.21,35.52,-0.312
2.21,35.54,-0.312
2.21,35.55,-0.312
2.21,35.57,-0.312
2.21,35.59,-0.312
2.22,35.6,-0.312
2.22,35.62,-0.312
2.22,35.64,-0.312
2.22,35.65,-0.312
2.22,35.67,-0.312
2.23,35.69,-0.312
2.23,35.7,-0.312
2.23,35.72,-0.312
2.23,35.74,-0.312
2.23,35.75,-0.312
2.23,35.77,-0.312
2.24,35.79,-0.312
2.24,35.8,-0.312
2.24,35.82,-0.312
2.24,35.84,-0.312
2.24,35.85,-0.312
2.24,35.87,-0.313
2.24,35.89,-0.313
2.25,35.9,-0.313
2.25,35.92,-0.313
2.25,35.94,-0.313
2.25,35.95,-0.313
2.25,35.97,-0.313
2.26,35.99,-0.313
2.26,36,-0.313
2.26,36.02,-0.313
2.26,36.04,-0.313
2.26,36.05,-0.313
2.26,36.07,-0.313
2.26,36.09,-0.313
2.27,36.1,-0.313
2.27,36.12,-0.313
2.27,36.14,-0.313
2.27,36.15,-0.313
2.27,36.17,-0.313
2.28,36.19,-0.313
2.28,36.2,-0.313
2.28,36.22,-0.313
2.28,36.24,-0.313
2.28,36.25,-0.313
2.28,36.27,-0.313
2.29,36.29,-0.313
2.29,36.3,-0.313
2.29,36.32,-0.313
2.29,36.34,-0.313
2.29,36.35,-0.313
2.29,36.37,-0.313
2.29,36.39,-0.313
2.3,36.4,-0.313
2.3,36.42,-0.313
2.3,36.44,-0.314
2.3,36.45,-0.314
2.3,36.47,-0.314
2.31,36.49,-0.314
2.31,36.5,-0.314
2.31,36.52,-0.314
2.31,36.54,-0.314
2.31,36.55,-0.314
2.31,36.57,-0.314
2.31,36.59,-0.314
2.32,36.6,-0.314
2.32,36.62,-0.314
2.32,36.64,-0.314
2.32,36.65,-0.314
2.32,36.67,-0.314
2.33,36.69,-0.314
2.33,36.7,-0.314
2.33,36.72,-0.314
2.33,36.74,-0.314
2.33,36.75,-0.314
2.33,36.77,-0.314
2.34,36.79,-0.314
2.34,36.8,-0.314
2.34,36.82,-0.314
2.34,36.83,-0.314
2.34,36.85,-0.314
2.34,36.87,-0.314
2.34,36.89,-0.314
2.35,36.9,-0.314
2.35,36.92,-0.314
2.35,36.94,-0.314
2.35,36.95,-0.314
2.35,36.97,-0.314
2.36,36.99,-0.314
2.36,37,-0.314
2.36,37.02,-0.314
2.36,37.04,-0.315
2.36,37.05,-0.315
2.36,37.07,-0.315
2.36,37.09,-0.315
2.37,37.1,-0.315
2.37,37.12,-0.315
2.37,37.14,-0.315
2.37,37.15,-0.315
2.37,37.17,-0.315
2.38,37.19,-0.315
2.38,37.2,-0.315
2.38,37.22,-0.315
2.38,37.24,-0.315
2.38,37.25,-0.315
2.38,37.27,-0.315
2.39,37.29,-0.315
2.39,37.3,-0.315
2.39,37.32,-0.315
2.39,37.33,-0.315
2.39,37.35,-0.315
2.39,37.37,-0.315
2.39,37.39,-0.315
2.4,37.4,-0.315
2.4,37.42,-0.315
2.4,37.44,-0.315
2.4,37.45,-0.315
2.4,37.47,-0.315
2.41,37.49,-0.315
2.41,37.5,-0.315
2.41,37.52,-0.315
2.41,37.54,-0.315
2.41,37.55,-0.315
2.41,37.57,-0.315
2.41,37.58,-0.315
2.42,37.6,-0.315
2.42,37.62,-0.315
2.42,37.64,-0.315
2.42,37.65,-0.315
2.42,37.67,-0.316
2.43,37.69,-0.316
2.43,37.7,-0.316
2.43,37.72,-0.316
2.43,37.73,-0.316
2.43,37.75,-0.316
2.43,37.77,-0.316
2.44,37.79,-0.316
2.44,37.8,-0.316
2.44,37.82,-0.316
2.44,37.84,-0.316
2.44,37.85,-0.316
2.44,37.87,-0.316
2.44,37.89,-0.316
2.45,37.9,-0.316
2.45,37.92,-0.316
2.45,37.94,-0.316
2.45,37.95,-0.316
2.45,37.97,-0.316
2.46,37.99,-0.316
2.46,38,-0.316
2.46,38.02,-0.316
2.46,38.04,-0.316
2.46,38.05,-0.316
2.46,38.07,-0.316
2.46,38.09,-0.316
2.47,38.1,-0.316
2.47,38.12,-0.316
2.47,38.14,-0.316
2.47,38.15,-0.316
2.47,38.17,-0.316
2.48,38.19,-0.316
2.48,38.2,-0.316
2.48,38.22,-0.316
2.48,38.23,-0.316
2.48,38.25,-0.316
2.48,38.27,-0.316
2.49,38.29,-0.316
2.49,38.3,-0.316
2.49,38.32,-0.316
2.49,38.34,-0.317
2.49,38.35,-0.317
2.49,38.37,-0.317
2.49,38.38,-0.317
2.5,38.4,-0.317
2.5,38.42,-0.317
2.5,38.44,-0.317
2.5,38.45,-0.317
2.5,38.47,-0.317
2.51,38.49,-0.317
2.51,38.5,-0.317
2.51,38.52,-0.317
2.51,38.53,-0.317
2.51,38.55,-0.317
2.51,38.57,-0.317
2.51,38.58,-0.317
2.52,38.6,-0.317
2.52,38.62,-0.317
2.52,38.63,-0.317
2.52,38.65,-0.317
2.52,38.67,-0.317
2.53,38.68,-0.317
2.53,38.7,-0.317
2.53,38.72,-0.317
2.53,38.73,-0.317
2.53,38.75,-0.317
2.53,38.77,-0.317
2.54,38.78,-0.317
2.54,38.8,-0.317
2.54,38.82,-0.317
2.54,38.83,-0.317
2.54,38.85,-0.317
2.54,38.87,-0.317
2.54,38.89,-0.317
2.55,38.9,-0.317
2.55,38.92,-0.317
2.55,38.93,-0.317
2.55,38.95,-0.317
2.55,38.97,-0.317
2.56,38.99,-0.317
2.56,39,-0.317
2.56,39.02,-0.318
2.56,39.03,-0.318
2.56,39.05,-0.318
2.56,39.07,-0.318
2.56,39.09,-0.318
2.57,39.1,-0.318
2.57,39.12,-0.318
2.57,39.14,-0.318
2.57,39.15,-0.318
2.57,39.17,-0.318
2.58,39.19,-0.318
2.58,39.2,-0.318
2.58,39.22,-0.318
2.58,39.24,-0.318
2.58,39.25,-0.318
2.58,39.27,-0.318
2.59,39.28,-0.318
2.59,39.3,-0.318
2.59,39.32,-0.318
2.59,39.33,-0.318
2.59,39.35,-0.318
2.59,39.37,-0.318
2.59,39.38,-0.318
2.6,39.4,-0.318
2.6,39.42,-0.318
2.6,39.43,-0.318
2.6,39.45,-0.318
2.6,39.47,-0.318
2.61,39.48,-0.318
2.61,39.5,-0.318
2.61,39.52,-0.318
2.61,39.53,-0.318
2.61,39.55,-0.318
2.61,39.57,-0.318
2.61,39.58,-0.318
2.62,39.6,-0.318
2.62,39.62,-0.318
2.62,39.64,-0.318
2.62,39.65,-0.318
2.62,39.67,-0.318
2.63,39.68,-0.318
2.63,39.7,-0.318
2.63,39.72,-0.319
2.63,39.73,-0.319
2.63,39.75,-0.319
2.63,39.77,-0.319
2.64,39.78,-0.319
2.64,39.8,-0.319
2.64,39.82,-0.319
2.64,39.83,-0.319
2.64,39.85,-0.319
2.64,39.87,-0.319
2.64,39.88,-0.319
2.65,39.9,-0.319
2.65,39.92,-0.319
2.65,39.93,-0.319
2.65,39.95,-0.319
2.65,39.97,-0.319
2.66,39.99,-0.319
2.66,40,-0.319
2.66,40.02,-0.319
2.66,40.04,-0.319
2.66,40.05,-0.319
2.66,40.07,-0.319
2.66,40.08,-0.319
2.67,40.1,-0.319
2.67,40.12,-0.319
2.67,40.14,-0.319
2.67,40.15,-0.319
2.67,40.17,-0.319
2.68,40.18,-0.319
2.68,40.2,-0.319
2.68,40.22,-0.319
2.68,40.23,-0.319
2.68,40.25,-0.319
2.68,40.27,-0.319
2.69,40.28,-0.319
2.69,40.3,-0.319
2.69,40.32,-0.319
2.69,40.33,-0.319
2.69,40.35,-0.319
2.69,40.37,-0.319
2.69,40.38,-0.319
2.7,40.4,-0.32
2.7,40.42,-0.32
2.7,40.43,-0.32
2.7,40.45,-0.32
2.7,40.47,-0.32
2.71,40.48,-0.32
2.71,40.5,-0.32
2.71,40.52,-0.32
2.71,40.53,-0.32
2.71,40.55,-0.32
2.71,40.57,-0.32
2.71,40.58,-0.32
2.72,40.6,-0.32
2.72,40.62,-0.32
2.72,40.64,-0.32
2.72,40.65,-0.32
2.72,40.67,-0.32
2.73,40.68,-0.32
2.73,40.7,-0.32
2.73,40.72,-0.32
2.73,40.73,-0.32
2.73,40.75,-0.32
2.73,40.77,-0.32
2.74,40.79,-0.32
2.74,40.8,-0.32
2.74,40.82,-0.32
2.74,40.83,-0.32
2.74,40.85,-0.32
2.74,40.87,-0.32
2.74,40.88,-0.32
2.75,40.9,-0.32
2.75,40.92,-0.32
2.75,40.93,-0.32
2.75,40.95,-0.32
2.75,40.97,-0.32
2.76,40.98,-0.32
2.76,41,-0.32
2.76,41.02,-0.32
2.76,41.03,-0.32
2.76,41.05,-0.32
2.76,41.07,-0.32
2.76,41.08,-0.32
2.77,41.1,-0.321
2.77,41.12,-0.321
2.77,41.13,-0.321
2.77,41.15,-0.321
